event_date,metric_name,metric_value,source_system,freshness_hours,row_count,null_count,duplicate_count,status
2026-07-12,refunds,853,Erp,2,1740,7,3,ALERT
2026-07-13,active_users,4395,Warehouse,4,3673,11,6,ALERT
2026-07-13,refunds,4719,Warehouse,2,4721,4,1,ALERT
2026-07-13,refunds,3906,App,4,4109,7,5,ALERT
2026-07-13,revenue,3112,Warehouse,4,4570,6,0,ALERT
2026-07-13,refunds,4792,Erp,8,3321,11,8,ALERT
2026-07-13,daily_orders,1606,Erp,24,4493,12,10,ALERT
2026-07-13,revenue,4401,App,2,4486,6,9,ALERT
2026-07-14,revenue,2975,App,2,1697,8,1,ALERT
2026-07-14,active_users,2929,Warehouse,24,4587,15,0,ALERT
2026-07-14,daily_orders,4192,Erp,24,3100,20,6,ALERT
2026-07-14,refunds,3303,Erp,4,1598,10,9,ALERT
2026-07-14,refunds,4216,Warehouse,8,2747,3,6,ALERT
2026-07-14,daily_orders,2708,Warehouse,2,1357,0,6,ALERT
2026-07-14,daily_orders,3875,Warehouse,4,1817,0,0,PASS
2026-07-15,refunds,2806,Warehouse,2,3281,16,6,ALERT
2026-07-15,active_users,2830,Warehouse,8,3774,19,0,ALERT
2026-07-15,revenue,1707,Warehouse,2,4287,9,2,ALERT
2026-07-15,active_users,2396,Warehouse,24,4284,11,2,ALERT
2026-07-15,active_users,4053,App,24,1036,15,7,ALERT
2026-07-15,active_users,3019,Erp,4,4175,17,5,ALERT
2026-07-15,revenue,4138,Warehouse,2,2961,7,0,ALERT
2026-07-16,revenue,2655,Erp,4,2930,7,6,ALERT
2026-07-16,revenue,3877,Warehouse,2,2935,3,6,ALERT
2026-07-16,active_users,598,Warehouse,2,3124,19,2,ALERT
2026-07-16,revenue,2559,App,8,4432,17,7,ALERT
2026-07-16,refunds,4450,App,24,3028,18,2,ALERT
2026-07-16,active_users,3161,App,8,3788,11,4,ALERT
2026-07-16,revenue,2470,Erp,1,1908,6,10,ALERT
2026-07-17,revenue,3409,App,24,4918,9,10,ALERT
2026-07-17,revenue,4456,Erp,24,3384,1,3,ALERT
2026-07-17,active_users,1270,Warehouse,8,3886,10,3,ALERT
2026-07-17,revenue,3878,App,4,2269,11,2,ALERT
2026-07-17,active_users,384,App,8,1317,10,10,ALERT
2026-07-17,revenue,3697,Warehouse,4,2371,14,4,ALERT
2026-07-17,daily_orders,4519,Warehouse,2,2207,6,3,ALERT
2026-07-18,active_users,1674,Warehouse,4,4033,17,8,ALERT
2026-07-18,refunds,739,Erp,8,2012,9,3,ALERT
2026-07-18,revenue,4339,App,2,4715,0,8,ALERT
2026-07-18,revenue,2834,Warehouse,2,1797,17,5,ALERT
2026-07-18,revenue,3799,Erp,24,1572,8,5,ALERT
2026-07-18,revenue,4530,App,24,4854,16,3,ALERT
2026-07-18,active_users,2669,Erp,4,1251,19,2,ALERT
2026-07-19,revenue,797,Erp,1,3184,12,6,ALERT
2026-07-19,revenue,2946,App,4,4298,12,5,ALERT
2026-07-19,refunds,2251,App,4,2131,17,0,ALERT
2026-07-19,active_users,1539,App,24,3544,10,3,ALERT
2026-07-19,revenue,4161,Erp,2,3413,6,1,ALERT
2026-07-19,revenue,152,Warehouse,1,4251,13,1,ALERT
2026-07-19,daily_orders,2247,App,24,1056,11,5,ALERT
2026-07-20,revenue,1623,App,8,3233,7,10,ALERT
2026-07-20,daily_orders,1162,App,24,4664,2,8,ALERT
2026-07-20,revenue,2012,App,8,1738,9,10,ALERT
2026-07-20,active_users,2333,Erp,1,4090,1,0,ALERT
2026-07-20,revenue,1405,Warehouse,1,2336,19,8,ALERT
2026-07-20,daily_orders,222,Erp,4,4612,8,10,ALERT
2026-07-20,refunds,4758,Erp,2,4589,13,8,ALERT
2026-07-21,refunds,4754,Warehouse,2,3657,12,1,ALERT
2026-07-21,active_users,4185,App,24,4749,15,7,ALERT
2026-07-21,active_users,2554,Erp,8,4157,9,4,ALERT
2026-07-21,revenue,4018,Warehouse,2,1258,14,4,ALERT
2026-07-21,refunds,3813,Erp,4,4800,2,3,ALERT
2026-07-21,refunds,3851,Warehouse,2,1462,3,8,ALERT
2026-07-21,refunds,1184,Warehouse,8,3636,7,4,ALERT
2026-07-22,refunds,4180,Erp,4,3925,6,3,ALERT
2026-07-22,active_users,952,App,2,4469,3,2,ALERT
2026-07-22,refunds,2497,App,24,4595,4,1,ALERT
2026-07-22,refunds,2798,Erp,2,2747,13,5,ALERT
2026-07-22,daily_orders,51,Warehouse,8,1802,12,8,ALERT
2026-07-22,refunds,3359,Erp,24,4058,14,9,ALERT
2026-07-23,active_users,2736,Erp,4,1087,1,3,ALERT
2026-07-23,active_users,311,App,8,3687,1,6,ALERT
2026-07-23,refunds,3559,Warehouse,1,4709,2,4,ALERT
2026-07-23,daily_orders,3198,App,2,4133,7,6,ALERT
2026-07-23,refunds,2690,App,2,2246,18,4,ALERT
2026-07-23,active_users,1522,Erp,1,4451,13,9,ALERT
2026-07-24,active_users,2463,Warehouse,24,3195,14,0,ALERT
2026-07-24,refunds,4182,Warehouse,24,2017,4,8,ALERT
2026-07-24,revenue,4104,App,4,1038,2,8,ALERT
2026-07-24,daily_orders,3699,App,8,1658,13,5,ALERT
2026-07-24,daily_orders,4819,App,8,3371,10,9,ALERT
2026-07-24,active_users,1298,Erp,2,1238,13,2,ALERT
2026-07-25,revenue,4321,Warehouse,8,1677,12,1,ALERT
2026-07-25,revenue,792,App,2,4872,19,2,ALERT
2026-07-25,revenue,2074,App,2,3192,3,1,ALERT
2026-07-25,daily_orders,3506,Warehouse,2,3473,1,4,ALERT
2026-07-25,revenue,4409,Erp,8,1563,17,8,ALERT
2026-07-25,revenue,701,App,1,3340,13,8,ALERT
2026-07-26,daily_orders,4240,Erp,24,2095,4,7,ALERT
2026-07-26,refunds,3715,App,8,4854,3,5,ALERT
2026-07-26,active_users,2019,App,8,1427,10,5,ALERT
2026-07-26,refunds,4399,App,2,3260,4,9,ALERT
2026-07-26,active_users,560,App,8,3681,3,9,ALERT
2026-07-26,revenue,1262,Erp,4,2816,4,8,ALERT
2026-07-27,daily_orders,3309,Warehouse,8,2159,2,7,ALERT
2026-07-27,active_users,2628,Erp,8,4004,18,7,ALERT
2026-07-27,revenue,3985,Erp,4,3334,17,0,ALERT
2026-07-27,active_users,2964,App,8,2720,5,9,ALERT
2026-07-27,daily_orders,2588,App,8,1748,3,0,ALERT
2026-07-27,revenue,1483,App,8,1476,18,2,ALERT
2026-07-28,active_users,150,Erp,4,2738,17,5,ALERT
2026-07-28,refunds,204,App,24,4879,19,6,ALERT
2026-07-28,active_users,2829,Erp,8,2234,13,1,ALERT
2026-07-28,daily_orders,2651,Warehouse,2,4613,2,7,ALERT
2026-07-28,active_users,286,Warehouse,1,1332,7,4,ALERT
2026-07-28,daily_orders,4787,App,24,4532,9,4,ALERT
2026-07-29,daily_orders,3794,Warehouse,1,4995,14,6,ALERT
2026-07-29,refunds,1570,Warehouse,2,4646,5,9,ALERT
2026-07-29,daily_orders,584,App,1,1557,8,2,ALERT
2026-07-29,refunds,2367,Erp,24,2439,12,2,ALERT
2026-07-29,refunds,3909,Warehouse,1,1340,4,0,ALERT
2026-07-29,revenue,141,Erp,8,1086,9,3,ALERT
2026-07-30,revenue,4088,Erp,2,1651,12,7,ALERT
2026-07-30,revenue,1273,App,4,4131,16,7,ALERT
2026-07-30,revenue,3946,Warehouse,1,4530,13,2,ALERT
2026-07-30,revenue,4928,Erp,1,4020,4,7,ALERT
2026-07-30,revenue,251,Erp,24,1188,14,7,ALERT
2026-07-30,refunds,1550,App,4,1046,4,6,ALERT
